time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName	
1.679267	1763568709.606																			
1.692466	1763568709.619	69.607353	-255.719057,172.755873,166.799789	0.021641,0.09991,-0.177819,0.978739	T	-255.719056,172.755876,166.799789	0.938514,-0.246712,-0.241505	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-21.245315,111.115949,106.460718	StaticMeshActor_1	
1.70639	1763568709.633	76.058342	-255.797447,172.772512,166.860886	0.021461,0.098199,-0.178118,0.978862	T	-255.797446,172.772512,166.860886	0.939161,-0.247502,-0.238156	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-21.292542,110.969542,107.391631	StaticMeshActor_1	
1.72024	1763568709.646	71.2855	-255.867737,172.774594,166.950363	0.021269,0.096161,-0.178673,0.978967	T	-255.867737,172.774594,166.950363	0.939814,-0.248821,-0.234174	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-21.420563,110.700682,108.530373	StaticMeshActor_1	
1.734249	1763568709.661	71.424492	-255.956048,172.774767,167.042038	0.020582,0.093438,-0.17929,0.979133	T	-255.956047,172.774767,167.042038	0.94071,-0.250451,-0.228776	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-21.570109,110.370233,110.037896	StaticMeshActor_1	
1.748297	1763568709.675	72.05648	-256.039802,172.781159,167.136871	0.020331,0.090904,-0.180191,0.979211	T	-256.044845,172.782481,167.132904	0.941398,-0.252662,-0.223453	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-21.817657,109.915631,111.533332	StaticMeshActor_1	
1.762147	1763568709.688	71.105545	-256.145033,172.789306,167.209305	0.019948,0.088514,-0.181148,0.979261	T	-256.145033,172.789306,167.209305	0.937782,-0.254345,-0.236375	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-22.451236,109.40442,108.302502	StaticMeshActor_1	
1.776058	1763568709.703	71.991661	-256.234985,172.800838,167.294128	0.019769,0.086211,-0.182169,0.979281	T	-256.234985,172.800835,167.294128	0.93829,-0.256591,-0.231889	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-22.72191,108.940317,109.581163	StaticMeshActor_1	
1.79004	1763568709.716	71.33786	-256.337358,172.798603,167.385345	0.019339,0.083894,-0.18291,0.979353	T	-256.335639,172.799336,167.387878	0.938196,-0.259309,-0.229232	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-23.130987,108.34124,110.405874	StaticMeshActor_1	
1.80401	1763568709.731	72.209473	-256.438972,172.795077,167.468781	0.018811,0.081714,-0.183681,0.979403	T	-256.438971,172.795077,167.468781	0.938777,-0.261014,-0.224877	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-23.326387,107.978756,111.625859	StaticMeshActor_1	
